GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Service,com.school.sms.student.infrastructure.config,OpenApiConfig,49,0,0,0,17,0,2,0,2,0
Student Service,com.school.sms.student.infrastructure.config,DatabaseConfig,42,0,0,0,11,0,2,0,2,0
Student Service,com.school.sms.student.infrastructure.persistence.adapter,StudentRepositoryAdapter,65,0,0,0,14,0,11,0,11,0
Student Service,com.school.sms.student.application.service,StudentStatisticsService,218,4,24,0,40,1,20,1,8,1
Student Service,com.school.sms.student.application.service,StudentSearchService,91,4,0,0,14,1,6,1,6,1
Student Service,com.school.sms.student.application.service,StudentStatusService,55,4,2,0,11,1,4,1,3,1
Student Service,com.school.sms.student.application.service,StudentManagementService,152,4,14,0,29,1,12,1,5,1
Student Service,com.school.sms.student.application.service,StudentRegistrationService,104,4,6,0,20,1,6,1,3,1
Student Service,com.school.sms.student.application.dto,StudentDTO.StudentDTOBuilder,185,0,0,0,1,0,22,0,22,0
Student Service,com.school.sms.student.application.dto,StudentDTO,864,0,158,0,23,0,124,0,45,0
Student Service,com.school.sms.student.application.dto,AddressDTO.AddressDTOBuilder,54,0,0,0,1,0,8,0,8,0
Student Service,com.school.sms.student.application.dto,AddressDTO,257,0,46,0,9,0,40,0,17,0
Student Service,com.school.sms.student.domain.valueobject,Address,67,213,28,18,2,9,29,12,6,12
Student Service,com.school.sms.student.domain.valueobject,StudentStatus,0,15,0,0,0,3,0,1,0,1
Student Service,com.school.sms.student.domain.valueobject,Address.AddressBuilder,12,52,0,2,0,1,1,8,1,7
Student Service,com.school.sms.student.domain.entity,Student,140,94,0,2,24,10,38,10,38,9
Student Service,com.school.sms.student.domain.entity,Student.StudentBuilder,108,78,0,2,0,1,14,8,14,7
Student Service,com.school.sms.student,StudentServiceApplication,5,3,0,0,2,1,1,1,1,1
Student Service,com.school.sms.student.presentation.controller,StudentStatisticsController,10,10,0,0,3,2,1,2,1,2
Student Service,com.school.sms.student.presentation.controller,StudentController,187,19,12,0,39,2,12,2,6,2
Student Service,com.school.sms.student.domain.exception,DuplicateMobileException,9,0,0,0,4,0,2,0,2,0
Student Service,com.school.sms.student.domain.exception,InvalidAgeException,9,0,0,0,4,0,2,0,2,0
Student Service,com.school.sms.student.domain.exception,StudentNotFoundException,9,0,0,0,4,0,2,0,2,0
Student Service,com.school.sms.student.presentation.dto,UpdateStudentRequest,688,0,126,0,19,0,100,0,37,0
Student Service,com.school.sms.student.presentation.dto,UpdateStudentRequest.UpdateStudentRequestBuilder,145,0,0,0,1,0,18,0,18,0
Student Service,com.school.sms.student.presentation.dto,StudentPageResponse.StudentPageResponseBuilder,73,0,0,0,1,0,10,0,10,0
Student Service,com.school.sms.student.presentation.dto,UpdateStatusRequest,86,0,14,0,5,0,16,0,9,0
Student Service,com.school.sms.student.presentation.dto,UpdateStatusRequest.UpdateStatusRequestBuilder,19,0,0,0,1,0,4,0,4,0
Student Service,com.school.sms.student.presentation.dto,StudentPageResponse,258,0,30,0,11,0,36,0,21,0
Student Service,com.school.sms.student.presentation.dto,CreateStudentRequest,645,0,118,0,18,0,94,0,35,0
Student Service,com.school.sms.student.presentation.dto,CreateStudentRequest.CreateStudentRequestBuilder,136,0,0,0,1,0,17,0,17,0
Student Service,com.school.sms.student.presentation.exception,GlobalExceptionHandler,154,7,0,0,45,2,7,2,7,2
Student Service,com.school.sms.student.infrastructure.util,StudentIdGenerator,36,0,0,0,7,0,3,0,3,0
Student Service,com.school.sms.student.application.mapper,StudentMapperImpl,325,0,14,0,82,0,14,0,7,0
